"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"155",155,155,"eric moreland","PF",23,"SAC",3,0,0.7,0.3,0.3,"1",0,0,"NA",0.3,0.3,"1","1",0,0,"NA",0,0.3,0.3,0,0,0,0,0.3,0.7
"156",156,156,"marcus morris","PF",25,"PHO",81,35,25.2,4.1,9.4,"0.434",1.4,3.9,"0.358",2.7,5.6,"0.487","0.507",0.9,1.4,"0.628",0.9,3.9,4.8,1.6,0.8,0.2,0.9,2.3,10.4
"157",157,157,"markieff morris","PF",25,"PHO",82,82,31.5,6.2,13.4,"0.465",0.7,2.2,"0.318",5.5,11.2,"0.494","0.491",2.2,2.8,"0.763",1.3,4.8,6.2,2.3,1.2,0.5,2.1,3,15.3
"158",158,158,"donatas motiejunas","PF",24,"HOU",71,62,28.7,5,9.9,"0.504",0.7,1.9,"0.368",4.3,8,"0.536","0.539",1.4,2.3,"0.602",1.9,4,5.9,1.8,0.8,0.5,1.7,2.9,12
"159",159,159,"mike muscala","PF",23,"ATL",40,8,12.6,2.1,3.8,"0.55",0.2,0.6,"0.409",1.9,3.2,"0.574","0.579",0.6,0.6,"0.88",1.3,1.7,3,0.6,0.4,0.5,0.5,1.3,4.9
"160",160,160,"andrew nicholson","PF",25,"ORL",40,3,12.3,2.1,4.8,"0.437",0.3,1,"0.317",1.8,3.7,"0.47","0.471",0.4,0.6,"0.6",0.4,1.6,2.1,0.6,0.2,0.3,0.6,1.3,4.9
"161",161,161,"dirk nowitzki","PF",36,"DAL",77,77,29.6,6.3,13.8,"0.459",1.4,3.6,"0.38",5,10.2,"0.486","0.508",3.3,3.8,"0.882",0.6,5.4,5.9,1.9,0.5,0.4,1.1,2.1,17.3
"162",162,162,"johnny obryant","PF",21,"MIL",34,15,10.8,1.3,3.5,"0.367",0,0,"NA",1.3,3.5,"0.367","0.367",0.4,0.8,"0.444",0.8,1.1,1.9,0.5,0.1,0.1,0.7,1.3,2.9
"163",163,163,"kyle oquinn","PF",24,"ORL",51,17,16.2,2.3,4.7,"0.492",0.2,0.8,"0.279",2.1,3.9,"0.538","0.517",0.9,1.1,"0.772",0.9,3,3.9,1.2,0.6,0.8,1.1,2.2,5.8
"164",164,164,"jabari parker","PF",19,"MIL",25,25,29.5,5.2,10.5,"0.49",0.2,0.6,"0.25",5,9.9,"0.506","0.498",1.8,2.6,"0.697",2,3.5,5.5,1.7,1.2,0.2,1.9,1.7,12.3
"165",165,165,"patrick patterson","PF",25,"TOR",81,4,26.6,3,6.6,"0.449",1.3,3.5,"0.371",1.7,3.1,"0.536","0.547",0.8,1,"0.788",1.6,3.8,5.3,1.9,0.7,0.5,0.7,1.8,8
"166",166,166,"adreian payne","PF",23,"TOT",32,22,23.1,2.8,6.9,"0.414",0,0.3,"0.111",2.8,6.6,"0.427","0.416",0.9,1.4,"0.652",1.5,3.6,5.1,0.9,0.6,0.3,1.4,2.8,6.7
"167",167,167,"dwight powell","PF",23,"TOT",29,0,8.1,1.1,2.3,"0.463",0.1,0.4,"0.273",1,1.9,"0.5","0.485",0.9,1.1,"0.758",0.6,1.1,1.7,0.3,0.3,0.2,0.4,1.4,3.1
"168",168,168,"julius randle","PF",20,"LAL",1,0,14,1,3,"0.333",0,0,"NA",1,3,"0.333","0.333",0,2,"0",0,0,0,0,0,0,1,1,2
"169",169,169,"shavlik randolph","PF",31,"TOT",21,0,6,0.4,1.7,"0.257",0,0.2,"0",0.4,1.4,"0.3","0.257",0.3,0.6,"0.5",0.8,1,1.8,0.2,0.2,0.1,0.1,0.8,1.1
"170",170,170,"zach randolph","PF",33,"MEM",71,71,32.5,6.4,13.1,"0.487",0.1,0.3,"0.35",6.3,12.8,"0.49","0.491",3.2,4.2,"0.765",3.2,7.4,10.5,2.2,1,0.2,2.2,2.5,16.1
"171",171,171,"thomas robinson","PF",23,"TOT",54,4,14.8,2.3,4.8,"0.485",0,0,"0",2.3,4.8,"0.488","0.485",1,2,"0.528",1.8,3.9,5.6,0.6,0.6,0.4,1.1,1.9,5.7
"172",172,172,"luis scola","PF",34,"IND",81,16,20.5,3.7,7.9,"0.467",0.1,0.2,"0.25",3.6,7.7,"0.474","0.471",2,2.8,"0.699",1.7,4.8,6.5,1.3,0.6,0.2,1.2,2.4,9.4
"173",173,173,"mike scott","PF",26,"ATL",68,0,16.5,3,6.7,"0.444",1,2.8,"0.344",2,3.8,"0.517","0.517",0.9,1.1,"0.792",0.7,2.3,2.9,1.1,0.4,0,0.6,1.2,7.8
